batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
49,49000,0.0119406737053795,0.0020361990950226,0.0074824527120857,0.0,0.0,0.0,0.0074650322175074,0.0012729844413012,0.0046778558680932,0.1598302687411598,113,384,707,5089,65679,160,265,0.37482319660537483,1826
50,50000,0.0261008403361344,0.004,0.0149461991058163,0.0098684210526315,0.0015037593984962,0.0038000944717699,0.01985218110399,0.0030390738060781,0.010655513385619,0.1534008683068017,106,429,691,5534,65679,165,266,0.3849493487698987,1999
51,51000,0.0174731182795698,0.0023041474654377,0.0094497486666182,0.0115671641791044,0.0014925373134328,0.0063893026215537,0.0152184235517568,0.0019943019943019,0.0082813732534027,0.1595441595441595,112,392,702,5992,65679,155,268,0.3817663817663818,2179
52,52000,0.0315240083507306,0.004384133611691,0.0190291778235842,0.0061475409836065,0.0008196721311475,0.0021568136847835,0.0229598893499308,0.0031811894882434,0.0133350466342794,0.1396957123098202,101,375,723,6461,65679,154,244,0.33748271092669435,2337
53,53000,0.0178544061302682,0.0029885057471264,0.0110674417365579,0.0047528517110266,0.0007604562737642,0.0018491782145959,0.0129178605539637,0.0021489971346704,0.0075940845642427,0.159025787965616,111,392,698,6886,65679,167,263,0.37679083094555876,2504
54,54000,0.0190363349131121,0.0030805687203791,0.010600719518903,0.0039426523297491,0.0016129032258064,0.0046771165768482,0.0134494195688225,0.0025373134328358,0.0084081023105006,0.1402985074626865,94,408,670,7279,65679,158,248,0.3701492537313433,2659
55,55000,0.0206871345029239,0.0032894736842105,0.010289346440866,0.003012048192771,0.0012048192771084,0.0027149545824082,0.0144444444444444,0.0025531914893617,0.0076141356993681,0.1248226950354609,88,394,705,7677,65679,143,249,0.35319148936170214,2797
56,56000,0.0223508771929824,0.0029473684210526,0.0131133778416516,0.0048262548262548,0.0007722007722007,0.0028717177410053,0.0161671207992733,0.0021798365122615,0.0094994950540939,0.1376021798365122,101,368,734,8094,65679,139,259,0.3528610354223433,2949
57,57000,0.0213754698984458,0.0032822757111597,0.012259588937692,0.0034482758620689,0.0006896551724137,0.0020871042898369,0.0144157827892767,0.0022757697456492,0.0083104315777483,0.1459170013386881,109,381,747,8498,65679,146,290,0.38821954484605087,3107
58,58000,0.0263987391646966,0.0035460992907801,0.0177657567488882,0.0134310134310134,0.0018315018315018,0.0048387005800675,0.0213122605363984,0.0028735632183908,0.0126952304068077,0.1580459770114942,110,409,696,8892,65679,174,273,0.3922413793103448,3267
59,59000,0.0219562647754137,0.0034042553191489,0.0133315741893228,0.003099173553719,0.0008264462809917,0.0024576960643825,0.015546972534332,0.0025280898876404,0.0096356774109021,0.1025280898876404,73,352,712,9268,65679,108,242,0.3398876404494382,3399
60,60000,0.0258771929824561,0.0041666666666666,0.0160679797015476,0.0,0.0,0.0,0.0164804469273743,0.0026536312849162,0.010233238469142,0.1662011173184357,119,358,716,9664,65679,177,260,0.36312849162011174,3561
61,61000,0.0306277056277056,0.0043181818181818,0.01372446721171,0.0037593984962406,0.000375939849624,0.0023719163668099,0.0205045190880884,0.0028328611898017,0.0094471605194388,0.1260623229461756,89,417,706,706,65679,156,266,0.37677053824362605,266
62,62000,0.0280082987551867,0.0029045643153526,0.0130300208548347,0.0012391573729863,0.0003717472118959,0.0006214143307293,0.0184198845983133,0.0019973368841544,0.0085853934846824,0.1131824234354194,85,401,751,1388,65679,119,269,0.3581890812250333,508
63,63000,0.027170311464546,0.0033797216699801,0.0141480321925343,0.0072463768115942,0.0007246376811594,0.0024923289960091,0.0201112537441163,0.0024390243902439,0.0100184120612879,0.134788189987163,105,361,779,2057,65679,136,276,0.35430038510911427,739
64,64000,0.0156680440771349,0.0024793388429752,0.0090625293180173,0.0,0.0,0.0,0.0099518810148731,0.0015748031496062,0.0057562522177432,0.1181102362204724,90,381,762,2670,65679,115,278,0.3648293963254593,959
65,65000,0.0384024577572964,0.0050691244239631,0.0210600576973527,0.0,0.0,0.0,0.0229252636405318,0.0030261348005502,0.012572304044912,0.1334250343878954,97,436,727,3233,65679,169,293,0.4030261348005502,1196
66,66000,0.0261451726568005,0.0031712473572938,0.0109213756211149,0.0019157088122605,0.0003831417624521,0.0023492229607871,0.0175295186194368,0.0021798365122615,0.0078732395933961,0.1348773841961852,99,381,734,3765,65679,156,261,0.3555858310626703,1384
67,67000,0.0219256933542647,0.0035164835164835,0.0099225795881416,0.003613369467028,0.0016260162601626,0.0021304892683307,0.0154993999501845,0.0028530670470756,0.007188122785469,0.0912981455064194,64,364,701,4265,65679,124,246,0.3509272467902996,1554
68,68000,0.0168378995433789,0.0025114155251141,0.0079696837157881,0.0095988845988845,0.0023166023166023,0.0066685752367617,0.014147935597003,0.0024390243902439,0.0074862015119605,0.1176470588235294,82,405,697,4737,65679,142,259,0.3715925394548063,1725
69,69000,0.0207609594706368,0.0027295285359801,0.0116425641139675,0.0024425287356321,0.0010344827586206,0.0017008875250668,0.013095238095238,0.002020202020202,0.0074822665515126,0.1414141414141414,98,460,693,5197,65679,159,290,0.4184704184704185,1927
70,70000,0.019641401792991,0.0031784841075794,0.011626779499416,0.009608730369976,0.002076124567474,0.0070079251219691,0.0154874733671295,0.0027220630372492,0.0097143885035963,0.1332378223495702,93,462,698,5658,65679,156,289,0.4140401146131805,2120
71,71000,0.0188105545248402,0.0024943310657596,0.0090403605916793,0.0,0.0,0.0,0.0114262459303781,0.0015151515151515,0.0054914587065159,0.1308539944903581,95,401,726,6131,65679,134,285,0.3925619834710744,2306
72,72000,0.0332970225127087,0.0043572984749455,0.0150803806930481,0.0,0.0,0.0,0.0209935897435897,0.0027472527472527,0.0095080971677322,0.1181318681318681,86,395,728,6588,65679,131,269,0.3695054945054945,2463
73,73000,0.0217313218390804,0.002801724137931,0.0129230786144225,0.003875968992248,0.0003875968992248,0.0011667829289301,0.0153508771929824,0.0019390581717451,0.0087220754470305,0.1038781163434903,75,403,722,7037,65679,136,258,0.3573407202216066,2625
74,74000,0.0272108843537414,0.0036281179138321,0.0150376518177411,0.0019920318725099,0.0003984063745019,0.0010520642333569,0.0180635838150289,0.0024566473988439,0.0099648447603994,0.1156069364161849,80,403,692,7434,65679,128,251,0.3627167630057804,2771
